Edificio  Nombre                                                                                                   Latitud     Longitud    Campus
8G        Instituto Universitario de Telecomunicación y Aplicaciones Multimedia                                    39.4784968  -0.3337191  Vera
8G        Instituto Universitario Mixto de Tecnología de Informática                                               39.4784968  -0.3337191  Vera
8G        Instituto de Diseño para la Fabricación y Producción Automatizada                                        39.4784968  -0.3337191  Vera
8G        Centro CIM                                                                                               39.4784968  -0.3337191  Vera
8G        Fundación de la Comunidad Valenciana Ciudad Politécnica de la Innovación                                 39.4784968  -0.3337191  Vera
8G        UMI en Tecnologías de la Información y las Comunicaciones aplicadas a la Reingeniería de Procesos So     39.4784968  -0.3337191  Vera
8G        UNI UPV-UV sobre Calidad de Aguas (CALAGUA)                                                              39.4784968  -0.3337191  Vera
8H        Área de Sistemas de la Información y las Comunicaciones                                                  39.4793639  -0.3370551  Vera
8H        Centro de Investigación en Tecnologías Gráficas                                                          39.4793639  -0.3370551  Vera
8H        Fundación Servipoli de la Comunidad Valenciana                                                           39.4793639  -0.3370551  Vera
8H        Asociación de Antiguos Alumnos                                                                           39.4793639  -0.3370551  Vera
8H        Central Sindical Independiente y de Funcionarios (CSFI)                                                  39.4793639  -0.3370551  Vera
8H        Sección Sindical de UGT de la UPV (UGT)                                                                  39.4793639  -0.3370551  Vera
8H        UPV Sindical                                                                                             39.4793639  -0.3370551  Vera
8I        Viveros                                                                                                  39.4782721  -0.3371593  Vera
8J        Viveros                                                                                                  39.4785610  -0.3366486  Vera
8K        Centro de Gestión de la Calidad y del Cambio                                                             39.4791959  -0.3365176  Vera
8K        Instituto de Iberoamérica y el Mediterráneo                                                              39.4791959  -0.3365176  Vera
8K        Instituto Intercultural para la Autogestión y Acción Comunal                                             39.4791959  -0.3365176  Vera
8K        Laboratorio de Idiomas                                                                                   39.4791959  -0.3365176  Vera
8K        Aula Atenea de Humanidades                                                                               39.4791959  -0.3365176  Vera
8K        Delegación I.A.E.S.T.E España                                                                            39.4791959  -0.3365176  Vera
8N        Cafetería                                                                                                39.4790145  -0.3373373  Vera
8P        Laboratorio de Investigación en Plantas Propulsivas de los Sistemas de Transporte                        39.4781243  -0.3356140  Vera
8Q        Ciudad Politécnica de la Información                                                                     39.4786752  -0.3347204  Vera
9A        Servicio de Deportes                                                                                     39.4798046  -0.3361291  Vera
9B        Centro Avanzado de Microbiología de Alimentos                                                            39.4794238  -0.3349126  Vera
9B        Laboratorio de Ingeniería de Compatibilidad Electromagnética                                             39.4794238  -0.3349126  Vera
9B        ams R&D Spain, SL                                                                                        39.4794238  -0.3349126  Vera
9B        Aurora Software and Testing, SL                                                                          39.4794238  -0.3349126  Vera
9B        BALMART Sistemas Electrónicos y de Comunicaciones S.L                                                    39.4794238  -0.3349126  Vera
9B        Bienetec, SL                                                                                             39.4794238  -0.3349126  Vera
9B        Comunitat Valenciana Business Angels Network                                                             39.4794238  -0.3349126  Vera
9B        Electronic Research & Development S.L.                                                                   39.4794238  -0.3349126  Vera
9B        Feasa Valencia                                                                                           39.4794238  -0.3349126  Vera
9B        Fent Innovative Software Solutions S.L.                                                                  39.4794238  -0.3349126  Vera
9B        Grupo Buscalia                                                                                           39.4794238  -0.3349126  Vera
9B        Open Kode SL                                                                                             39.4794238  -0.3349126  Vera
9B        Tecatel, S.L.                                                                                            39.4794238  -0.3349126  Vera
9D        Cafetería El Trinquet                                                                                    39.4802807  -0.3368697  Vera
9E        Fundación CEDAT-Servicio de Atención al Estudiante con Discapacidad                                      39.4810001  -0.3364571  Vera
9F        Nave de Ensayos                                                                                          39.4811693  -0.3363407  Vera
9H        Nave de Ensayos                                                                                          39.4813459  -0.3364236  Vera
9I        Nave de Ensayos                                                                                          39.4814333  -0.3363833  Vera
9J        Nave de Ensayos                                                                                          39.4815340  -0.3363497  Vera
1         Georgina Blanes                                                                                          38,6937212  -0,4772926  Alcoy
2         Escuela Politécnica Superior de Alcoy                                                                    38,6944629  -0,4762926  Alcoy
3         Escuela Politécnica Superior de Alcoy                                                                    38,6944086  -0,4759032  Alcoy
A         Escuela Politécnica Superior de Gandía                                                                   38.9969326  -0.1661876  Gandía
B         Escuela Politécnica Superior de Gandía                                                                   38.9960183  -0.1659646  Gandía
C         Escuela Politécnica Superior de Gandía                                                                   38.9957897  -0.165389   Gandía
D         Escuela Politécnica Superior de Gandía                                                                   38.996545   -0.1666301  Gandía
E         Escuela Politécnica Superior de Gandía                                                                   38.9962306  -0.1663157  Gandía
F         Escuela Politécnica Superior de Gandía                                                                   38.9962633  -0.1653686  Gandía
G         Escuela Politécnica Superior de Gandía                                                                   38.9965     -0.1656993  Gandía
H         Escuela Politécnica Superior de Gandía                                                                   38.994961   -0.1658748  Gandía
